TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME,OI
SUNTV-I,20231005,614.35,637.7,612.9,635.15,5153,8937000
SUNTV-II,20231005,616.75,638,616.75,635.15,195,207000
SUNTV-III,20231005,630.9,640,630.9,637.55,8,9000
SYNGENE-I,20231005,796.4,811.85,789.4,792.1,817,3672000
SYNGENE-II,20231005,808,813.75,796,796.95,23,37000
SYNGENE-III,20231005,804.9,804.9,802,802,2,2000
TATACHEM-I,20231005,1020.65,1025.85,1005.9,1009.55,1783,6921200
TATACHEM-II,20231005,1026.7,1030.2,1011.65,1014.15,100,265100
TATACHEM-III,20231005,1030.55,1030.55,1020,1020.5,7,4400
TATACOMM-I,20231005,1878.95,1894.7,1853.3,1857.15,1686,5765500
TATACOMM-II,20231005,1890,1903.3,1864.35,1867.05,34,99000
TATACOMM-III,20231005,1888.15,1888.15,1888.15,1888.15,1,1000
TATACONSUM-I,20231005,870,871.75,861.3,864.35,1997,9503100
TATACONSUM-II,20231005,874,876,867.15,869,52,171000
TATACONSUM-III,20231005,873,877.55,873,875.7,6,6300
TATAMOTORS-I,20231005,620.65,624.65,616.15,622.65,10835,64469850
TATAMOTORS-II,20231005,625.2,629,620.8,626.65,552,2755950
TATAMOTORS-III,20231005,629,633,625.5,631.95,52,155325
TATAPOWER-I,20231005,259.35,260.8,256.65,258.7,3561,86997375
TATAPOWER-II,20231005,260.55,262.5,259,260.7,548,3516750
TATAPOWER-III,20231005,262.3,264.35,260.8,262.7,27,259875
TATASTEEL-I,20231005,126.3,126.5,124.8,125.55,7934,193891500
TATASTEEL-II,20231005,127.25,127.25,125.7,126.4,437,9427000
TATASTEEL-III,20231005,127.65,127.95,126.35,127.05,93,456500
TCS-I,20231005,3565,3629.6,3556.05,3597.05,27639,8542975
TCS-II,20231005,3594.35,3653.95,3580.25,3620.6,613,1227625
TCS-III,20231005,3610,3674,3595.75,3642.8,53,8225
TECHM-I,20231005,1209.45,1227.5,1205.65,1211.45,6482,12762000
TECHM-II,20231005,1206.6,1220.25,1199.7,1205.95,265,607800
TECHM-III,20231005,1218,1228,1211.5,1211.5,8,15600
TITAN-I,20231005,3185.5,3247,3183.1,3232.35,7424,5668500
TITAN-II,20231005,3205.2,3266,3205.2,3253.7,191,149625
TITAN-III,20231005,3250,3284.75,3250,3267.8,19,7875
TORNTPHARM-I,20231005,1862.05,1875,1851.1,1859.25,527,1925500
TORNTPHARM-II,20231005,1872.65,1883.9,1855,1867.15,25,17000
TORNTPHARM-III,20231005,0,0,0,1897.25,0,0
TRENT-I,20231005,2038.55,2069,2038.55,2057.05,1532,3185200
TRENT-II,20231005,2060,2075,2059.2,2069.3,32,32400
TRENT-III,20231005,0,0,0,2101.8,0,0
TVSMOTOR-I,20231005,1506.4,1514.3,1495.75,1504.8,1356,6692000
TVSMOTOR-II,20231005,1514.55,1521,1505,1513.75,53,117600
TVSMOTOR-III,20231005,1525.4,1525.4,1517,1517,7,5600
UBL-I,20231005,1555.65,1569.95,1550.25,1558.85,557,2222000
